lakeid,sampledate,avsnow,totice,whiteice,
AL,3/5/02,11.2,45,12,
AL,3/6/89,27.8,55,11,
AL,3/8/16,0,40,11,
AL,3/16/98,8.4,37,15,
AL,3/16/11,3.6,51,7,
AL,3/17/09,0,60,12,
AL,3/18/14,7.2,73,32,
AL,3/19/87,0,54,8,
AL,3/19/97,31.2,57,30,
AL,3/21/17,0.6,43,4,
AL,3/21/88,8.3,61,51,
AL,3/22/10,0,24,3,
AL,3/23/83,9.8,36,11,
AL,3/23/93,8.1,58.5,19.5,
AL,3/23/99,0.5,54,20,
AL,3/23/15,0,44,5,
AL,3/23/92,4.1,48,20,
AL,3/25/91,0,53,13,
AL,3/26/07,0,38,0,
AL,3/25/08,17.9,53,14,
AL,3/27/85,0.5,51,9,
AL,3/27/89,,60.5,18,
AL,3/27/90,0,44,3,
AL,3/27/13,14,66,25,
AL,3/27/14,9.5,78,46,
AL,3/28/06,2.9,57,33,
AL,3/29/94,18.2,42,6,
AL,3/31/86,1.5,,,
AL,3/31/04,0.9,56,17,
AL,4/1/05,1,49,10,
AL,4/2/01,5.4,55,28,
AL,4/3/84,1.5,56,21,
AL,4/4/02,10,62,30,
AL,4/5/82,3,62.3,31.2,
AL,4/8/96,20.7,68,37,
AL,11/30/82,0,9.3,0,
BM,1/6/93,18.7,23,0,
BM,1/8/86,16.6,33,10,
BM,1/9/85,4.8,32,1,
BM,1/10/84,9.9,34.2,15.1,
BM,1/11/94,16.4,29,0,
BM,1/11/95,2,36.5,0,
BM,1/11/05,5,40,0,
BM,1/11/12,8.5,32,2,
BM,1/12/83,23.7,33,4,
BM,1/12/87,5.6,37,2,
BM,1/12/88,6.4,43,15,
BM,1/13/92,11.5,30,3,
BM,1/14/91,13.6,31,0,
BM,1/14/11,10.3,37,3,
BM,1/15/97,9.6,45,32,
BM,1/15/98,20.9,31,5,
BM,1/15/99,8.6,38,2,
BM,1/16/06,13.6,26,0,
BM,1/16/08,10.2,36,10,
BM,1/17/89,18.5,35.2,0,
BM,1/17/07,3.8,28,6,
BM,1/18/01,24.6,24,0,
BM,1/18/10,3.7,32,16,
BM,1/18/13,6.7,33,3,
BM,1/18/17,15.2,35,4,
BM,1/21/09,20.2,43,10,
BM,1/21/15,23.9,28,1,
BM,1/22/02,4.9,29,0,
BM,1/22/16,13.2,18,0,
BM,1/23/90,21.3,36,9.5,
BM,1/24/00,20.2,39,2,
BM,1/25/82,19.9,34.3,10,
BM,1/26/04,14.3,49,8,
BM,1/30/03,7,64,0,
BM,1/30/14,31,44,4,
BM,2/7/96,17.6,62,29,
BM,2/12/10,8.6,46,17,
BM,2/16/11,12.5,40,3,
BM,2/17/83,19,40,11.1,
BM,2/19/98,2,44,17,
BM,2/20/90,9.9,51,17,
BM,2/20/97,13,58,35,
BM,2/20/12,15,45,8,
BM,2/21/91,9.3,50,2,
BM,2/21/95,12.1,55,5,
BM,2/21/03,10.7,70,0,
BM,2/21/06,12.9,43,14,
BM,2/21/17,0,42,6,
BM,2/22/93,8.2,49,15,
BM,2/22/13,28.5,45,1,
BM,2/23/84,,49,17,
BM,2/23/96,15.2,63,30,
BM,2/23/00,24.8,43,6,
BM,2/23/01,20.6,42,7,
BM,2/24/94,1.4,42,0,
BM,2/24/99,21.8,40,7,
BM,2/24/05,9.1,56,6,
BM,2/24/09,4.1,57,7,
BM,2/25/82,10,61,22,
BM,2/25/87,16.2,46,4,
BM,2/25/92,23.3,45,17,
BM,2/26/85,13.3,48,1,
BM,2/26/86,26.2,54,29,
BM,2/26/02,18.1,42,2,
BM,2/26/08,18,57,17,
BM,2/27/07,12.9,57,10,
BM,2/28/89,20.7,62,15,
BM,3/1/88,8.4,67,54,
BM,3/2/04,21,61,19,
BM,3/3/15,10.2,62,18,
BM,3/4/14,23.3,59,26,
BM,3/4/16,1,46,11,
BM,3/16/09,0,56,7,
BM,3/19/98,8.1,40,10,
BM,3/22/11,0,52,5,
BM,3/23/83,9.7,38,8,
BM,3/23/95,0.7,45,2,
BM,3/24/87,0,38,38,
BM,3/24/93,5,59,18,
BM,3/24/99,0.5,57,17,
BM,3/26/91,0,51,4,
BM,3/26/15,6.8,49,4,
BM,3/27/85,0,53,6,
BM,3/26/08,21.3,53,13,
BM,3/27/14,11,68,28,
BM,3/27/92,1.4,51,14,
BM,3/28/17,0,44,2,
BM,3/29/90,0,43.5,7,
BM,3/29/13,6.8,70,18,
BM,3/30/94,14.5,43,0,
BM,3/30/07,0,35,0,
BM,3/31/89,,65,13,
BM,4/1/86,3.2,37,13,
BM,4/1/03,12.1,60,2,
BM,4/2/97,9.6,52,27,
BM,4/4/05,0,54,4,
BM,4/4/06,0,41,13,
BM,4/4/84,2,55,6,
BM,4/6/01,1,49,20,
BM,4/5/04,0,50,10,
BM,4/7/82,3.7,55,13,
BM,4/6/88,0,60,0,
BM,4/9/96,26.2,75,37,
BM,4/11/85,0,56,56,
BM,4/16/02,0,31,0,
CB,1/5/84,12.3,22.1,15.7,
CB,1/9/12,5,25,14,
CB,1/11/83,28.1,25.5,25.5,
CB,1/12/95,4.9,34,6,
CB,1/12/05,6.1,35,22,
CB,1/12/06,6,25,13,
CB,1/13/86,20.4,32,17,
CB,1/13/97,15.9,42,30,
CB,1/14/93,16.4,28,17,
CB,1/14/10,12.1,24,21,
CB,1/15/85,10.1,28,6,
CB,1/15/91,20.2,23,0,
CB,1/15/92,14.4,29,5,
CB,1/16/01,23.5,21,13,
CB,1/17/94,11.9,29,17,
CB,1/17/96,27.2,31,31,
CB,1/17/17,17.9,24,16,
CB,1/18/82,13.9,28.2,19.2,
CB,1/18/90,8.5,26.5,20.5,
CB,1/19/89,16.5,38.5,22,
CB,1/19/99,15.2,26,0,
CB,1/20/87,15,22,17,
CB,1/20/88,23.1,24,20,
CB,1/20/98,20,27,6,
CB,1/21/04,20.9,31,11,
CB,1/22/02,9.9,20,14,
CB,1/22/07,9,27,10,
CB,1/22/09,17.9,33,17,
CB,1/23/15,18,28,13,
CB,1/25/11,18.4,32.5,13,
CB,1/25/16,16.5,22,8,
CB,1/28/00,17,28,18,
CB,1/28/08,14,33,15,
CB,1/28/13,22.4,30,7,
CB,2/3/03,27.3,41,41,
CB,2/3/14,23.4,47,29,
CB,2/15/95,18.4,41.5,6,
CB,2/17/97,20.4,49,41,
CB,2/17/09,5,42,20,
CB,2/17/11,6.6,41,16,
CB,2/18/91,9.4,38,30,
CB,2/18/13,18.6,46,18,
CB,2/19/98,0.7,40,25,
CB,2/20/84,9.1,37,21,
CB,2/20/96,19.2,45,40,
CB,2/20/03,16.2,43,5,
CB,2/20/14,30.4,47,27,
CB,2/21/89,13.6,42.8,26,
CB,2/21/07,11,34,13,
CB,2/22/82,6.7,43.4,17.5,
CB,2/22/02,21.6,26,14,
CB,2/22/10,15.3,36,23,
CB,2/22/12,13.4,35,24,
CB,2/23/83,5,32.5,21,
CB,2/23/87,7.7,37,21,
CB,2/23/94,1,35,15,
CB,2/23/00,2.3,41,17,
CB,2/23/06,17.2,37,27,
CB,2/23/17,2.5,29,23,
CB,2/24/16,9,32,23,
CB,2/25/86,27.4,44,34,
CB,2/25/92,29,36,31,
CB,2/25/93,8.9,44.5,32.5,
CB,2/25/99,15,40,40,
CB,2/25/08,20.9,42,24,
CB,2/26/85,16.5,35,9,
CB,2/27/90,19.2,46,30,
CB,2/27/04,7.8,53,29,
CB,2/28/05,25.2,45,19,
CB,2/29/88,9.6,48,43.5,
CB,3/1/01,17,40,34,
CB,3/6/15,28,30,24,
CB,3/17/98,9.1,31,20,
CB,3/17/11,0,48,20,
CB,3/18/09,0,41,19,
CB,3/19/87,0,41,41,
CB,3/20/95,0,30,30,
CB,3/22/91,0,42,15,
CB,3/23/93,8.6,50,33,
CB,3/23/15,0,25,19,
CB,3/23/88,4.1,46,41,
CB,3/24/17,0,34,24,
CB,3/25/83,10.3,32,22,
CB,3/24/08,16.1,52,25,
CB,3/26/85,0.5,44,18,
CB,3/25/92,2.9,38,31,
CB,3/27/06,2.2,42,37,
CB,3/28/89,,43,21.4,
CB,3/28/90,0,30,17,
CB,3/28/13,9.5,59,29,
CB,3/29/99,0,40,27,
CB,3/30/94,13.4,32,10.5,
CB,3/31/05,1.8,39,12,
CB,3/31/14,10.3,55,39,
CB,4/1/03,6.7,31,29,
CB,4/2/01,4.9,44,37,
CB,4/2/02,7,52,45,
CB,4/7/82,5.9,41.5,32,
CB,4/6/04,0,30,13,
CB,4/8/96,13.8,64,54,
CB,4/9/84,0,31,20,
CB,4/10/97,0,39,39,
CB,11/12/85,0,3,0,
CB,11/16/83,,3,,
CB,12/1/82,0,11,0,
CR,1/5/84,13.8,22.8,3.1,
CR,1/7/93,11.5,34.5,5.5,
CR,1/9/06,20.2,25,1,
CR,1/10/85,8,35,6,
CR,1/12/94,20.1,20,0,
CR,1/12/11,11.5,36,6,
CR,1/13/92,12.9,30,7,
CR,1/13/95,1.7,32.5,1,
CR,1/13/04,6.3,40,8,
CR,1/13/05,4.6,34,2,
CR,1/13/12,14.1,30,2,
CR,1/14/83,27.6,31,3,
CR,1/14/87,6.1,27,3,
CR,1/14/91,11.7,36,3,
CR,1/14/98,15.4,28,4,
CR,1/14/03,0.4,42,0,
CR,1/15/86,16.7,28,8,
CR,1/15/90,20.1,30,3,
CR,1/15/02,3.7,19,0,
CR,1/15/10,17.4,15,6,
CR,1/16/13,0,23,2,
CR,1/16/15,28.5,22,8,
CR,1/17/00,17.8,30,1,
CR,1/18/89,24.7,37.5,8,
CR,1/18/17,15.4,28,7,
CR,1/19/88,3.8,35,29.5,
CR,1/19/99,22,29,0,
CR,1/19/01,25.3,19,0,
CR,1/19/07,7.8,28,1,
CR,1/21/09,17.2,43,10,
CR,1/22/82,7.7,49.3,10,
CR,1/23/96,23.3,34,6,
CR,1/23/97,5.3,43,27,
CR,1/29/08,15.2,31,10,
CR,1/29/16,13.8,21,4,
CR,2/4/14,34.6,35,7,
CR,2/13/95,8.7,45,2,
CR,2/14/11,16.1,39,9,
CR,2/16/98,4.5,40,17,
CR,2/16/05,5.7,49,7,
CR,2/16/06,11.5,42,21,
CR,2/16/17,9.8,40,12,
CR,2/18/97,21.8,38,27,
CR,2/19/90,12,49,19,
CR,2/19/96,13.3,57,36,
CR,2/20/89,14.2,43.3,7,
CR,2/20/01,11.3,37,16,
CR,2/21/83,14.6,38.5,8,
CR,2/21/91,9.2,45,4,
CR,2/21/94,0,39,10,
CR,2/21/00,27.3,37,9,
CR,2/22/99,8,42,13,
CR,2/22/07,4.6,42,3,
CR,2/23/93,12.6,49,14.5,
CR,2/23/10,12,39,19,
CR,2/24/92,25.1,36,7,
CR,2/24/04,46.6,42,7,
CR,2/24/12,12.7,41,10,
CR,2/25/87,16.6,31,4,
CR,2/25/09,4.7,54,14,
CR,2/25/16,2.4,35,15,
CR,2/26/03,9.2,61,0,
CR,2/26/13,25,41,10,
CR,2/27/02,18.4,33,0,
CR,2/27/15,9.4,37,20,
CR,2/28/85,13.6,48,4,
CR,3/1/82,11.6,59.8,12.9,
CR,2/29/84,0.8,45,13,
CR,3/2/88,9.4,55,47,
CR,3/4/08,21.1,50,13,
CR,3/13/14,0.9,73,43,
CR,3/18/98,9.9,38,12,
CR,3/19/99,3,50,12,
CR,3/21/11,1.7,51,8,
CR,3/23/95,0.6,32,32,
CR,3/23/17,1.5,39,4,
CR,3/24/93,4.8,58,18,
CR,3/25/87,0,18,18,
CR,3/25/09,0,44,4,
CR,3/26/91,0,42,16,
CR,3/26/13,11.2,61,31,
CR,3/26/15,7,38,9,
CR,3/26/92,1.7,47,14,
CR,3/28/85,0,48,5,
CR,3/28/14,19.8,62,30,
CR,3/29/89,,49.5,9,
CR,3/29/90,0,31,7,
CR,3/29/07,0,24,0,
CR,3/30/83,12.3,39,7,
CR,3/30/06,0,45,26,
CR,3/31/97,1.2,55,37,
CR,3/31/08,12.9,54,17,
CR,4/2/86,0,28,5,
CR,4/1/04,1.6,43,10,
CR,4/4/01,0.7,47,22,
CR,4/4/03,8.3,56,8,
CR,4/5/88,0,48,4,
CR,4/6/94,3.1,41,6,
CR,4/6/05,0,41,0,
CR,4/8/82,4.6,67.9,13.1,
CR,4/11/85,0,53,53,
CR,4/10/96,19.7,64,36,
CR,4/12/84,0,38,38,
CR,4/15/02,0,40,12,
SP,1/6/84,2.7,36.2,11.8,
SP,1/9/95,2.1,30,2,
SP,1/11/85,8.8,28.7,3,
SP,1/12/89,18.3,33,0,
SP,1/12/94,6.8,30,10,
SP,1/12/98,17.5,26,0,
SP,1/12/04,10,37,8,
SP,1/12/10,5.7,32,17,
SP,1/12/12,9,29,1,
SP,1/13/83,24,27,1,
SP,1/13/93,19,36.5,6,
SP,1/14/86,17.5,29,6,
SP,1/14/87,3.5,24,0,
SP,1/14/92,11.3,30,7,
SP,1/14/97,11,37,26,
SP,1/14/13,0,21,1,
SP,1/14/15,24.1,23,10,
SP,1/15/03,1,45,0,
SP,1/15/07,6.8,29,8,
SP,1/16/91,8.8,38,5,
SP,1/16/02,5.1,16.5,4,
SP,1/17/90,15.9,36,,
SP,1/17/06,12.5,29,6,
SP,1/17/08,11.1,33,8,
SP,1/17/17,16.5,26,9,
SP,1/18/99,22.9,26,0,
SP,1/18/00,18.9,27.5,0.5,
SP,1/18/11,16.9,31,10,
SP,1/19/88,2.8,35,16,
SP,1/19/05,11.2,43,0,
SP,1/20/82,4.3,43,22.5,
SP,1/20/09,17.8,45,6,
SP,1/21/16,6.5,22,5,
SP,1/22/01,20.7,32,10,
SP,1/24/96,11,51,22,
SP,1/30/14,32.1,38,7,
SP,2/11/10,9.4,46,14,
SP,2/13/06,23.6,33,12,
SP,2/14/11,16.9,35,11,
SP,2/17/97,24.5,40,26,
SP,2/17/14,22,50,32,
SP,2/18/04,29.7,42,7,
SP,2/19/90,15.9,51,10,
SP,2/19/91,8.6,55,5,
SP,2/20/95,15.5,42,1,
SP,2/20/07,8.7,42,5,
SP,2/21/94,0,39,6,
SP,2/21/96,11.7,53,26,
SP,2/21/12,9.4,41,11,
SP,2/22/00,27.6,36,2,
SP,2/22/17,0,32,9,
SP,2/23/89,7.9,58.5,17.5,
SP,2/23/98,0,35,11,
SP,2/23/99,9,41,14,
SP,2/24/82,13.4,49.2,29.3,
SP,2/24/83,1,29,1,
SP,2/24/87,13.4,41,0,
SP,2/24/09,3.6,55,9,
SP,2/24/15,12.2,43,20,
SP,2/25/05,10,54,5,
SP,2/25/13,21,45,16,
SP,2/27/84,1,47.5,15,
SP,2/27/85,11.7,48,4,
SP,2/27/86,17.7,51,34,
SP,2/28/01,15.7,44,23,
SP,2/28/02,1.6,38,11,
SP,2/29/88,10.4,54,51,
SP,3/1/93,2.7,60.5,21.5,
SP,3/1/92,22.5,41,7,
SP,3/3/08,18.9,48,13,
SP,3/6/03,17.5,61,0,
SP,3/7/16,0.3,43,14,
SP,3/18/98,8.5,37,8,
SP,3/20/09,0,56,5,
SP,3/21/11,1.4,43,7,
SP,3/22/93,9.1,56,23,
SP,3/24/87,0,34,34,
SP,3/24/95,1,34,0,
SP,3/24/99,1,53,17,
SP,3/24/14,10.8,72,45,
SP,3/24/15,0,38,12,
SP,3/25/91,0,53,3,
SP,3/25/97,31,44,31,
SP,3/26/85,0.5,56,12,
SP,3/27/17,0,31,1,
SP,3/28/83,9.5,39,8,
SP,3/28/90,0,39,4,
SP,3/27/92,0.4,52,10,
SP,3/28/94,15.5,44,0,
SP,3/28/07,0,27,0,
SP,3/27/08,16.1,50,6,
SP,3/29/89,,50,5,
SP,3/29/13,7.2,59,24,
SP,3/31/06,0,41,21,
SP,4/1/02,15,54,21,
SP,4/1/96,18.2,70,32,
SP,4/2/03,7.5,48,0,
SP,4/3/01,2.2,45,32,
SP,4/5/82,4,51,24.7,
SP,4/4/88,0,58,9.5,
SP,4/6/05,0,42,0,
SP,4/7/04,0,39,6,
SP,4/10/84,0,44.5,5,
SP,4/11/85,0,50,50,
SP,5/2/08,0,0,0,
TB,1/3/84,8.1,35.3,13.2,
TB,1/10/83,27.9,17,8,
TB,1/10/86,19.2,25,10,
TB,1/10/12,4.4,25,16,
TB,1/12/95,6.3,31,3.5,
TB,1/12/06,8.6,26,21,
TB,1/14/88,15.6,23,15,
TB,1/14/93,16.5,29.5,17,
TB,1/14/10,12,24,18,
TB,1/15/85,14.8,26,6,
TB,1/15/87,15.4,23,20,
TB,1/15/90,9.5,27.5,7.5,
TB,1/15/92,14.9,26,14,
TB,1/16/91,22,24,0,
TB,1/17/89,21.4,31,13.5,
TB,1/17/94,13.1,20,6,
TB,1/17/96,24.8,28,5,
TB,1/17/02,11,17,0,
TB,1/19/98,24.4,21,6,
TB,1/20/05,25,31,15,
TB,1/20/15,19.1,30,25,
TB,1/20/17,16.3,26,13,
TB,1/21/97,18.3,44,29,
TB,1/21/04,22,32,11,
TB,1/22/99,21.1,30,9,
TB,1/22/09,26.2,32,18,
TB,1/23/07,10.6,28,12,
TB,1/24/01,13.5,23,9,
TB,1/24/11,18.3,34,18,
TB,1/24/14,32.1,30,10,
TB,1/25/16,8.6,24,19,
TB,1/27/82,25.8,32.5,12.1,
TB,1/27/00,16.1,27,12,
TB,1/28/08,14.7,34,19,
TB,1/28/13,28,25,2,
TB,2/4/03,29.8,41,5,
TB,2/14/95,16,36.5,5,
TB,2/15/05,12.2,42,25,
TB,2/15/11,19.9,36,18,
TB,2/17/09,6.2,48,23,
TB,2/17/17,13.4,34,19,
TB,2/18/97,16.2,55,39,
TB,2/18/98,2.5,39,22,
TB,2/18/13,10.4,41,20,
TB,2/19/01,22.1,38,27,
TB,2/19/04,16.6,50,28,
TB,2/20/91,12.5,39,11,
TB,2/20/03,20.6,42,5,
TB,2/20/12,9.8,35,25,
TB,2/20/14,32,46,32,
TB,2/21/96,15.3,50,7,
TB,2/21/00,28.4,21,14,
TB,2/21/07,13.3,36,13,
TB,2/22/83,0.5,31,15,
TB,2/22/06,15.1,38,38,
TB,2/22/10,18.8,33,17,
TB,2/23/87,10.1,37,14,
TB,2/24/93,10.2,49,32,
TB,2/24/94,2.7,46,26,
TB,2/24/99,16.4,44,44,
TB,2/24/16,6.5,33,25,
TB,2/25/86,26,40,34,
TB,2/25/08,22.2,42,23,
TB,2/26/92,31,40,28,
TB,2/27/85,5.4,31,7,
TB,2/28/84,2.3,46,22,
TB,2/28/90,22.2,50,30,
TB,3/1/88,9.4,44,33,
TB,3/3/82,9.1,39.3,32.7,
TB,3/6/89,33.8,46.2,24,
TB,3/6/02,7.8,38,18,
TB,3/6/15,31.1,32,27,
TB,3/16/98,6.5,34,21,
TB,3/16/11,11.3,48,23,
TB,3/20/87,0,35,17,
TB,3/20/95,2.8,36,31,
TB,3/21/91,0,47,15,
TB,3/23/93,8.5,50.5,31.5,
TB,3/23/99,4.2,43,33,
TB,3/24/83,10.1,30,8,
TB,3/23/88,4.9,51,18,
TB,3/23/92,5.2,44,3,
TB,3/24/97,24.4,57,57,
TB,3/24/15,0,25,20,
TB,3/25/85,2.5,47,18,
TB,3/25/09,0,42,24,
TB,3/27/89,,58.5,36.5,
TB,3/27/90,0,41,24.5,
TB,3/27/07,0,25,2,
TB,3/27/13,7.6,60,36,
TB,3/28/94,11,36,17,
TB,3/27/08,12.3,53,35,
TB,3/28/14,21.1,60,42,
TB,3/29/06,0.5,47,47,
TB,3/29/17,0,36,22,
TB,3/29/04,3.9,54,28,
TB,3/31/86,0.8,28,22,
TB,3/31/05,1.3,44,20,
TB,4/2/03,1.6,40,2,
TB,4/2/96,29.3,57,26,
TB,4/3/01,3.9,47,39,
TB,4/4/84,0,46,14,
TB,4/6/82,8.2,52,41,
TB,4/10/85,0,48,24,
TB,4/12/02,0,51,27,
TB,11/9/95,,2.5,0,
TB,11/14/83,,2,,
TB,11/30/82,0.5,11,0,
TR,1/8/85,4,25,5,
TR,1/9/84,1.4,35.6,13,
TR,1/9/86,7.5,40,3,
TR,1/10/83,15.8,21.2,0,
TR,1/10/95,1.5,34.5,0,
TR,1/12/93,14.6,28.5,2,
TR,1/13/87,1.8,35,0,
TR,1/13/10,3.4,36,9,
TR,1/13/11,9.3,34,0,
TR,1/14/92,9,36,8,
TR,1/15/91,8.1,31,0,
TR,1/15/13,0,29,3,
TR,1/15/15,19.1,31,10,
TR,1/16/89,20.2,27,0,
TR,1/16/90,1,41,10,
TR,1/16/98,16.6,23,0,
TR,1/16/03,1.9,45,0,
TR,1/16/12,0.6,22,1,
TR,1/16/14,17.2,40,0,
TR,1/18/88,6.5,36,1,
TR,1/18/07,2.8,28,4,
TR,1/19/82,3.5,48,5,
TR,1/19/00,15.9,35,0,
TR,1/19/09,19.5,39,4,
TR,1/19/17,11.3,29,0,
TR,1/20/99,16.9,34,0,
TR,1/20/06,10.8,24,10,
TR,1/21/02,3.9,24,0,
TR,1/21/05,12.4,44,6,
TR,1/24/97,27.6,31.5,13,
TR,1/25/01,8,32,16,
TR,1/26/96,7.2,39,15,
TR,1/27/94,16.5,35,0,
TR,1/27/04,16.8,45,8,
TR,2/1/08,7,46,9,
TR,2/1/16,10.9,23,0,
TR,2/10/10,6.7,43,10,
TR,2/13/17,8.6,43,5,
TR,2/14/06,8.2,36,16,
TR,2/16/83,7.7,42.7,18.5,
TR,2/16/95,8,46,0,
TR,2/16/04,22.4,46,8,
TR,2/16/09,1.7,49,7,
TR,2/16/11,12.3,44,3,
TR,2/19/14,37.3,45,5,
TR,2/20/91,9.6,48,0,
TR,2/20/98,0,29,6,
TR,2/21/84,4.3,54,13,
TR,2/21/89,3.7,55,2,
TR,2/21/90,16.9,48,15,
TR,2/21/97,6,54,39,
TR,2/21/13,23.2,47,0,
TR,2/22/96,13.4,57,20,
TR,2/22/12,10.9,37,1,
TR,2/23/94,1,44,0,
TR,2/24/00,17.8,40,0,
TR,2/25/85,7.9,46,3,
TR,2/25/02,13.8,32,1,
TR,2/26/87,11.3,48,0,
TR,2/26/99,8.9,47,17,
TR,2/26/07,9.5,60,6,
TR,2/27/01,14.2,45,25,
TR,2/27/08,13.4,53,6,
TR,3/1/93,3,62.5,10.5,
TR,3/2/82,9.5,60,17,
TR,3/2/15,3.2,65,21,
TR,3/1/16,0.2,43,8,
TR,3/3/05,13.9,56,8,
TR,3/4/86,23.2,47,7,
TR,3/3/88,4.1,65,60,
TR,3/4/92,15.2,42,6,
TR,3/11/03,19.6,62,0,
TR,3/17/11,0,52,6,
TR,3/20/98,6.5,30,8,
TR,3/21/95,5,38.5,38.5,
TR,3/22/93,7.2,63,13,
TR,3/22/17,0,44,3,
TR,3/23/09,0,51,0,
TR,3/25/85,3.7,58,15,
TR,3/26/87,0,35,35,
TR,3/25/92,3.1,49,12,
TR,3/26/99,0.3,53,17,
TR,3/26/14,9.5,77,19,
TR,3/27/15,4.7,49,4,
TR,3/28/89,,61,8,
TR,3/28/13,8.3,61,15,
TR,3/29/83,9.2,39,8,
TR,3/29/07,0,41,0,
TR,3/28/08,8.2,61,8,
TR,3/30/90,0,41,7,
TR,3/30/04,0,52,12,
TR,4/1/91,1.3,48,3,
TR,4/3/86,0,33,0,
TR,4/2/96,22.5,66,26,
TR,4/3/02,12.3,61,23,
TR,4/3/03,5.7,58,1,
TR,4/4/94,7.7,44,4,
TR,4/5/05,0,43,3,
TR,4/5/06,0,32,8,
TR,4/6/82,2.2,62.5,11,
TR,4/6/01,1,47,24,
TR,4/7/88,0,46,46,
TR,4/9/97,0.1,41,11,
TR,4/11/84,0,50,4,
TR,4/12/85,0,,,
